	北京	010
广东	广州	020
	上海	021
	天津	022
	重庆	023
辽宁	沈阳	024
江苏	南京	025
湖北	武汉	027
四川	成都	028
陕西	西安	029
河北	邯郸	0310
河北	石家庄	0311
河北	保定	0312
河北	张家口	0313
河北	承德	0314
河北	唐山	0315
河北	廊坊	0316
河北	沧州	0317
河北	衡水	0318
河北	邢台	0319
河北	秦皇岛	0335
山西	忻州	0350
山西	太原	0351
山西	大同	0352
山西	阳泉	0353
山西	榆次	0354
山西	长治	0355
山西	晋城	0356
山西	临汾	0357
山西	离石	0358
山西	运城	0359
河南	商丘	0370
河南	郑州	0371
河南	安阳	0372
河南	新乡	0373
河南	许昌	0374
河南	平顶山	0375
河南	信阳	0376
河南	南阳	0377
河南	开封	0378
河南	洛阳	0379
河南	焦作	0391
河南	鹤壁	0392
河南	濮阳	0393
河南	周口	0394
河南	漯河	0395
河南	驻马店	0396
河南	三门峡	0398
辽宁	铁岭	0410
辽宁	大连	0411
辽宁	鞍山	0412
辽宁	抚顺	0413
辽宁	本溪	0414
辽宁	丹东	0415
辽宁	锦州	0416
辽宁	营口	0417
辽宁	阜新	0418
辽宁	辽阳	0419
辽宁	朝阳	0421
辽宁	盘锦	0427
辽宁	葫芦岛	0429
吉林	长春	0431
吉林	吉林	0432
吉林	延吉	0433
吉林	四平	0434
吉林	通化	0435
吉林	白城	0436
吉林	辽源	0437
吉林	松原	0438
吉林	浑江	0439
吉林	珲春	0440
黑龙江	阿城	0450
黑龙江	哈尔滨	0451
黑龙江	齐齐哈尔	0452
黑龙江	牡丹江	0453
黑龙江	佳木斯	0454
黑龙江	绥化	0455
黑龙江	黑河	0456
黑龙江	加格达奇	0457
黑龙江	伊春	0458
黑龙江	大庆	0459
内蒙古	海拉尔	0470
内蒙古	呼和浩特	0471
内蒙古	包头	0472
内蒙古	乌海	0473
内蒙古	集宁	0474
内蒙古	通辽	0475
内蒙古	赤峰	0476
内蒙古	东胜	0477
内蒙古	临河	0478
内蒙古	锡林浩特	0479
内蒙古	乌兰浩特	0482
内蒙古	阿拉善左旗	0483
江苏	无锡	0510
江苏	镇江	0511
江苏	苏州	0512
江苏	南通	0513
江苏	扬州	0514
江苏	盐城	0515
江苏	徐州	0516
江苏	淮阴	0517
江苏	淮安	0517
江苏	连云港	0518
江苏	常州	0519
江苏	泰州	0523
山东	菏泽	0530
山东	济南	0531
山东	青岛	0532
山东	淄博	0533
山东	德州	0534
山东	烟台	0535
山东	淮坊	0536
山东	济宁	0537
山东	泰安	0538
山东	临沂	0539
安徽	滁州	0550
安徽	合肥	0551
安徽	蚌埠	0552
安徽	芜湖	0553
安徽	淮南	0554
